date;max_ndvi;mean_chirps
2002-07;0.33766916666666674;23.665753424657535
2002-08;0.4551719298245614;24.826027397260273
2002-09;0.567001754385965;19.43904109589041
2002-10;0.5562035087719298;14.479452054794521
2002-11;0.39629824561403515;6.76928622927181
2002-12;0.2896824561403509;1.030281182408075
2003-01;0.33763333333333334;0.0
2003-02;0.44026666666666675;0.0
2003-03;0.4611200000000001;0.8787671232876711
2003-04;0.41021166666666664;9.171917808219177
2003-05;0.3496;21.51232876712329
2003-06;0.30627166666666666;21.88972602739726
