date;max_ndvi;mean_chirps
2002-07;0.2868966666666667;26.053645833333334
2002-08;0.37767368421052633;20.300520833333334
2002-09;0.532740350877193;23.108333333333334
2002-10;0.6305543859649122;22.359375
2002-11;0.5060421052631578;13.148574561403509
2002-12;0.3081859649122807;1.355263157894737
2003-01;0.34593666666666667;0.0
2003-02;0.4869616666666666;0.0
2003-03;0.5257216666666665;1.184895833333333
2003-04;0.4304216666666667;11.207291666666668
2003-05;0.3362766666666666;20.103125000000002
2003-06;0.2980333333333333;26.0578125
